"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"29","""No one is born hating another person because of the color of his skin or his background or his religion..."" https://t.co/InZ58zkoAm",FALSE,4602715,NA,2017-08-13 00:06:09,FALSE,NA,"896523232098078720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",1717777,FALSE,FALSE,NA,NA
"30","John McCain is an American hero &amp; one of the bravest fighters I've ever known. Cancer doesn't know what it's up against. Give it hell, John.",FALSE,2101379,NA,2017-07-20 00:49:02,FALSE,NA,"887836712822558720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",417057,FALSE,FALSE,NA,NA
"31","Health care has always been about something bigger than politics: it's about the character of our country. https://t.co/UqLO14Hef7",FALSE,447183,NA,2017-06-22 19:41:08,FALSE,NA,"877974755592228868",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",132253,FALSE,FALSE,NA,NA
"32","Of all that I've done in my life, I'm most proud to be Sasha and Malia's dad. To all those lucky enough to be a dad… https://t.co/XSqMhcSuvR",FALSE,1371035,NA,2017-06-18 15:09:20,TRUE,NA,"876456804305252353",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",257615,FALSE,FALSE,NA,NA
"33","On this National Gun Violence Awareness Day, let your voice be heard and show your commitment to reducing gun viole… https://t.co/S7dth6Ywb0",FALSE,392924,NA,2017-06-02 17:35:54,TRUE,NA,"870695481290117120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",73054,FALSE,FALSE,NA,NA
"34","Forever grateful for the service and sacrifice of all who fought to protect our freedoms and defend this country we… https://t.co/BwRS0onlOL",FALSE,709231,NA,2017-05-29 13:09:16,TRUE,NA,"869178832082874369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",132720,FALSE,FALSE,NA,NA
"35","Good to see my friend Prince Harry in London to discuss the work of our foundations &amp; offer condolences to victims… https://t.co/f1U8It8AmE",FALSE,499009,NA,2017-05-27 13:15:25,TRUE,NA,"868455601663332353",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",75923,FALSE,FALSE,NA,NA
"36","Through faith, love, and resolve the character of the people of Manchester has shown itself.  Our thoughts &amp; prayer… https://t.co/xyMer891Zo",FALSE,221134,NA,2017-05-25 14:13:35,TRUE,NA,"867745464329883648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",43523,FALSE,FALSE,NA,NA
"37","Our hearts go out to those killed and wounded in Manchester. Americans will always stand shoulder to shoulder with the people of the UK.",FALSE,1044960,NA,2017-05-23 16:56:14,FALSE,NA,"867061620027076608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",224587,FALSE,FALSE,NA,NA
"38","Excited to hear from Sierra, Imani, Filiz, and Benedikt who are making a difference at home and abroad. See you in… https://t.co/bF1kB1GvxC",FALSE,84437,NA,2017-05-22 21:16:23,TRUE,NA,"866764702600359937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",10092,FALSE,FALSE,NA,NA
