"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"264","That boy Suarez is heated right now.Literally threw his boots on the field when they told him that he couldn't playÌ†ΩÌ∏°Ì†ΩÌ∏°Ì†ΩÌ∏°But I came to see himÌ†ΩÌ∏¢",FALSE,989,NA,2016-06-10 01:16:09,FALSE,NA,"741076452603535360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",467,FALSE,FALSE,NA,NA
"265","We Almost got Lebron 2 years ago",FALSE,8369,NA,2016-05-31 03:33:03,FALSE,NA,"737487026220630016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",6275,FALSE,FALSE,NA,NA
"266","Time to RECRUIT KD to the SixersÌ†ΩÌπèÌ†ºÌøøÌ†ΩÌπèÌ†ºÌøøÌ†ΩÌπèÌ†ºÌøø",FALSE,20944,NA,2016-05-31 03:30:03,FALSE,NA,"737486270033760260",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",19473,FALSE,FALSE,NA,NA
"267","Well that was a great matchup between GS and OKC..... Had OKC in 6 and they almost had it #Almost",FALSE,742,NA,2016-05-31 03:28:21,FALSE,NA,"737485841589784576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",177,FALSE,FALSE,NA,NA
"268","AND 1",FALSE,475,NA,2016-05-31 02:02:34,FALSE,NA,"737464253779697664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",152,FALSE,FALSE,NA,NA
"269","Game time.... WE'RE CHAMPIONS!!!! #halamadrid",FALSE,565,NA,2016-05-28 21:35:39,FALSE,NA,"736672306517413889",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",346,FALSE,FALSE,NA,NA
"270","Go go go go goaallllllll #HalaMadrid",FALSE,380,NA,2016-05-28 19:06:17,FALSE,NA,"736634717882228736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",205,FALSE,FALSE,NA,NA
"271","Celebrating with a Pitcher of Shirley Temples #ShirleyTemplesdidthis",FALSE,3938,NA,2016-05-18 00:52:14,FALSE,NA,"732735514122563584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",2387,FALSE,FALSE,NA,NA
"272","Dikembe was right https://t.co/OieBhWdVzo",FALSE,5150,NA,2016-05-18 00:31:28,FALSE,NA,"732730286493011968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",3665,FALSE,FALSE,NA,NA
"273","The #3 Pick from the 2014 draft is gonna be ready too... Let's get it",FALSE,9551,NA,2016-05-18 00:29:59,FALSE,NA,"732729913413914625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",7446,FALSE,FALSE,NA,NA
